,target,start time (UTC),end time (UTC),duration (minutes),ra,dec,configuration
0,37,2019-04-15 05:03:40.022,2019-04-15 05:06:40.022,2.9999999999999893,111.704317,-44.727796,{'filter': 'R'}
1,TransitionBlock,2019-04-15 05:06:40.022,2019-04-15 05:07:00.022,0.33333333333327886,,,['filter:R to B']
2,37,2019-04-15 05:25:40.023,2019-04-15 05:28:40.023,2.9999999999999893,111.704317,-44.727796,{'filter': 'B'}
3,TransitionBlock,2019-04-15 05:28:40.023,2019-04-15 05:31:20.023,2.6666666666665506,,,[]
4,112,2019-04-15 05:37:40.023,2019-04-15 05:41:00.023,3.333333333333268,52.562003,57.046486,{'filter': 'B'}
5,TransitionBlock,2019-04-15 05:41:00.023,2019-04-15 05:43:00.023,1.999999999999993,,,['filter:B to G']
6,19,2019-04-15 05:43:40.024,2019-04-15 05:46:40.024,2.9999999999999893,108.987254,-9.42627,{'filter': 'G'}
7,TransitionBlock,2019-04-15 05:46:40.024,2019-04-15 05:48:40.024,1.999999999999993,,,['filter:G to B']
8,35,2019-04-15 05:49:00.024,2019-04-15 05:51:00.024,1.999999999999993,150.900646,64.453246,{'filter': 'B'}
9,TransitionBlock,2019-04-15 05:51:00.024,2019-04-15 05:52:00.024,0.9999999999999964,,,['filter:B to R']
10,23,2019-04-15 06:03:40.024,2019-04-15 06:05:40.024,1.999999999999993,71.203206,66.668131,{'filter': 'R'}
11,TransitionBlock,2019-04-15 06:05:40.024,2019-04-15 06:08:40.024,3.000000000000149,,,['filter:R to G']
12,37,2019-04-15 06:11:40.025,2019-04-15 06:14:40.025,3.000000000000149,111.704317,-44.727796,{'filter': 'G'}
13,TransitionBlock,2019-04-15 06:14:40.025,2019-04-15 06:16:20.025,1.666666666666714,,,['filter:G to B']
14,124,2019-04-15 06:16:20.025,2019-04-15 06:18:40.025,2.3333333333332718,132.285408,16.525044,{'filter': 'B'}
15,TransitionBlock,2019-04-15 06:18:40.025,2019-04-15 06:20:00.025,1.3333333333334352,,,[]
16,23,2019-04-15 06:41:40.026,2019-04-15 06:43:40.026,1.999999999999993,71.203206,66.668131,{'filter': 'B'}
17,TransitionBlock,2019-04-15 06:43:40.026,2019-04-15 06:44:20.026,0.6666666666665577,,,['filter:B to R']
18,52,2019-04-15 07:06:20.027,2019-04-15 07:09:00.027,2.6666666666665506,77.700414,82.592523,{'filter': 'R'}
19,TransitionBlock,2019-04-15 07:09:00.027,2019-04-15 07:09:20.027,0.33333333333327886,,,['filter:R to B']
20,52,2019-04-15 07:32:40.028,2019-04-15 07:35:20.028,2.6666666666665506,77.700414,82.592523,{'filter': 'B'}
21,TransitionBlock,2019-04-15 07:35:20.028,2019-04-15 07:36:20.028,1.0000000000001563,,,['filter:B to G']
22,35,2019-04-15 08:53:20.031,2019-04-15 08:55:20.031,1.999999999999993,150.900646,64.453246,{'filter': 'G'}
23,TransitionBlock,2019-04-15 08:55:20.031,2019-04-15 08:55:40.031,0.33333333333327886,,,[]
24,115,2019-04-15 08:59:20.031,2019-04-15 09:02:40.031,3.333333333333268,132.385502,53.713391,{'filter': 'G'}
25,TransitionBlock,2019-04-15 09:02:40.031,2019-04-15 09:03:40.031,0.9999999999999964,,,[]
26,124,2019-04-15 09:07:00.031,2019-04-15 09:09:20.031,2.3333333333332718,132.285408,16.525044,{'filter': 'G'}
27,TransitionBlock,2019-04-15 09:09:20.031,2019-04-15 09:11:00.031,1.666666666666714,,,[]
28,143,2019-04-15 09:18:40.031,2019-04-15 09:21:20.031,2.6666666666665506,179.047332,-37.08946,{'filter': 'G'}
29,TransitionBlock,2019-04-15 09:21:20.031,2019-04-15 09:23:40.031,2.3333333333332718,,,[]
30,67,2019-04-15 09:30:20.032,2019-04-15 09:33:00.032,2.6666666666665506,166.933564,65.661608,{'filter': 'G'}
31,TransitionBlock,2019-04-15 09:33:00.032,2019-04-15 09:36:00.032,2.9999999999999893,,,['filter:G to R']
